automaton_id,module,classification,state_register,state_encoding,clock,reset,moore_mealy_drawing_style,current_state_or_mode,transition_guard_or_signal,next_state_or_update,micro_op_or_control_effect,g3_transition_row_id,source_path,source_locator
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,0/ALL,!aresetn,"IDLE, clear all wrapper-owned registers",CONTROL_RESET,FSM_HOST_JOB_LIFECYCLE:L40,rtl/axi/vit_phase_e_axi_wrapper.sv,"L253; 0/ALL; guard=!aresetn; target=IDLE, clear all wrapper-owned registers"
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,1/any,clear_error_pulse,clear error/reject stickies; không clear recovery,CONTROL_ONLY,FSM_HOST_JOB_LIFECYCLE:L41,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 1/any; guard=clear_error_pulse; target=clear error/reject stickies; không clear recovery
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,2/IDLE,start_pulse && accept,snapshot all job fields; job_pending=1,JOB_SNAPSHOT,FSM_HOST_JOB_LIFECYCLE:L42,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 2/IDLE; guard=start_pulse && accept; target=snapshot all job fields; job_pending=1
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,2/not acceptable,start_pulse,reject priority BUSY > RESET_REQUIRED > EXECUTION_MODE > MODEL_ALIGNMENT,CONTROL_ONLY,FSM_HOST_JOB_LIFECYCLE:L43,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 2/not acceptable; guard=start_pulse; target=reject priority BUSY > RESET_REQUIRED > EXECUTION_MODE > MODEL_ALIGNMENT
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,3/PENDING,job_fire,job_pending=0; NPU captures job same edge,JOB_DISPATCH,FSM_HOST_JOB_LIFECYCLE:L44,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 3/PENDING; guard=job_fire; target=job_pending=0; NPU captures job same edge
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,4/RUN,terminal && npu_error,"sticky error, code/info; recovery_required_q=1",CONTROL_ONLY,FSM_HOST_JOB_LIFECYCLE:L45,rtl/axi/vit_phase_e_axi_wrapper.sv,"L253; 4/RUN; guard=terminal && npu_error; target=sticky error, code/info; recovery_required_q=1"
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,4/RUN,terminal && !npu_error,sticky done,CONTROL_ONLY,FSM_HOST_JOB_LIFECYCLE:L46,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 4/RUN; guard=terminal && !npu_error; target=sticky done
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,5/IDLE,soft_reset_pulse,clear pending/stickies/recovery directly; pulse local_reset_pulse one cycle,CONTROL_RESET,FSM_HOST_JOB_LIFECYCLE:L47,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 5/IDLE; guard=soft_reset_pulse; target=clear pending/stickies/recovery directly; pulse local_reset_pulse one cycle
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,5/busy,soft_reset_pulse,BUSY error,CONTROL_ONLY,FSM_HOST_JOB_LIFECYCLE:L48,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 5/busy; guard=soft_reset_pulse; target=BUSY error
CM-HOST-JOB,vit_phase_e_axi_wrapper,implicit,job_pending; recovery_required_q,IDLE/PENDING/RUNNING/RECOVERY,aclk,aresetn (synchronous active-low),Implicit protocol automaton — không nên ép thành Moore hoặc Mealy thuần; vẽ theo mode/occupancy/valid tracker + guard. G2: MIXED_OR_PROTOCOL; exact registered side effects listed,6/any,abort_pulse,unsupported-abort error,CONTROL_ONLY,FSM_HOST_JOB_LIFECYCLE:L49,rtl/axi/vit_phase_e_axi_wrapper.sv,L253; 6/any; guard=abort_pulse; target=unsupported-abort error
